review,label,domain,sentiment,rating,review_length,clean_review
Good but lacks audience.....as only participants can see these activities on duty leave basis,0.0,extracurricular,Neutral,5,93,good lack audience participant see activity duty leave basis
All the activities are gud and appropriate for students,1.0,extracurricular,Positive,8,55,activity gud appropriate student
"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important. 
Thanx",0.0,extracurricular,Neutral,5,285,thats good problm whenever university function like one india one world held alowed attend class miss class gona loose attendence everyone know lpu attendnce important thanx
Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. ,-1.0,extracurricular,Negative,2,152,chance enjoy given think activity like one india enjoy otherwise everything good
extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events,-1.0,extracurricular,Negative,2,154,extracurricular activies held class student attend every student enjoy participate event
they are amazing and help to boost our stamina.,1.0,extracurricular,Positive,8,47,amazing help boost stamen
increasing confidence,1.0,extracurricular,Positive,8,21,increasing confidence
best,1.0,extracurricular,Positive,8,4,best
extracurricular activities are good.,1.0,extracurricular,Positive,8,36,extracurricular activity good
"good it is, but teachers do not consider the new ones.",0.0,extracurricular,Neutral,5,54,good teacher consider new one
extracurrcular activities held in university is good.,1.0,extracurricular,Positive,8,53,extracurrcular activity held university good
"super, the extracurricular activities held in university. So that student can show the efforts in other fields.",1.0,extracurricular,Positive,8,111,super extracurricular activity held university student show effort field
good and ample number of extracurricular activities take place,1.0,extracurricular,Positive,8,62,good ample number extracurricular activity take place
they are good but they should give exposure to more students and not the same.,0.0,extracurricular,Neutral,5,78,good give exposure student
I donot participate,0.0,extracurricular,Neutral,5,19,donot participate
all are enough,1.0,extracurricular,Positive,8,14,enough
all activities are good,1.0,extracurricular,Positive,8,23,activity good
More than best,1.0,extracurricular,Positive,8,14,best
Its upto mark and very efficiently held in our university,1.0,extracurricular,Positive,8,57,upto mark efficiently held university
provides good platform to interested students,1.0,extracurricular,Positive,8,45,provides good platform interested student
no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation,-1.0,extracurricular,Negative,2,112,comment participiate get reappear backlog time given exam preparation
"the activities are very good but no time is given to students for participation, so its of no use",-1.0,extracurricular,Negative,2,97,activity good time given student participation use
lot of activities and students get exposure in games.,1.0,extracurricular,Positive,8,53,lot activity student get exposure game
too many activities are conducted and student get ample amount of opportunities to participate,1.0,extracurricular,Positive,8,94,many activity conducted student get ample amount opportunity participate
they are going excellent,1.0,extracurricular,Positive,8,24,going excellent
not much interested,0.0,extracurricular,Neutral,5,19,much interested
bcoz of lectures..we don't get time to participate..,-1.0,extracurricular,Negative,2,52,bcoz lecture get time participate
"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
",-1.0,extracurricular,Negative,2,115,also want participate activity take part activity day scholar
Extracurricular activities are good and provide a  good platform.,1.0,extracurricular,Positive,8,65,extracurricular activity good provide good platform
It is good ,1.0,extracurricular,Positive,8,11,good
that's  great,1.0,extracurricular,Positive,8,13,great
hahahah,0.0,extracurricular,Neutral,5,7,hahahah
very good it is a good oppurtunities to many students,1.0,extracurricular,Positive,8,53,good good oppurtunities many student
there are many oppertunities for students .. its all upon students about how they utilize them.,1.0,extracurricular,Positive,8,95,many oppertunities student upon student utilize
Poor,0.0,extracurricular,Neutral,5,4,poor
some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature ,1.0,extracurricular,Positive,8,131,university conducted extracurricular activity university good feature
IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS,1.0,extracurricular,Positive,8,62,much useful participate interest
excelent,1.0,extracurricular,Positive,8,8,excelent
Quite a lot of events are organized and students have a all round growth which is a nice thing.,1.0,extracurricular,Positive,8,95,quite lot event organized student round growth nice thing
Activities are not up to the mark as  advertisement.,-1.0,extracurricular,Negative,2,52,activity mark advertisement
very well,1.0,extracurricular,Positive,8,9,well
It's good but we don't get sufficient time for participating in that activities,0.0,extracurricular,Neutral,5,79,good get sufficient time participating activity
unbiased,1.0,extracurricular,Positive,8,8,unbiased
LPU gives the best opportunity for the students to show their talent.,1.0,extracurricular,Positive,8,69,lpu give best opportunity student show talent
these are very usefull to students .excellent,1.0,extracurricular,Positive,8,45,usefull student excellent
"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5",0.0,extracurricular,Neutral,5,167,lot extracurricular activites held university many unknown problem viewed rating
these are very use full to the sudents forphysical activity and improvement of knowledge,1.0,extracurricular,Positive,8,88,use full sudents forphysical activity improvement knowledge
Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses ,-1.0,extracurricular,Negative,2,167,sometimes study burden much participate activity one activity complusory every student like course
it helps in building up university's reputation.,1.0,extracurricular,Positive,8,48,help building university reputation
It was quite great and unique.,1.0,extracurricular,Positive,8,30,quite great unique
EXTRAORDINARY,1.0,extracurricular,Positive,8,13,extraordinary
it was quite great and unique,1.0,extracurricular,Positive,8,29,quite great unique
"it is relly awesome,extirdinary and marvellous but no time to attend",1.0,extracurricular,Positive,8,68,relly awesome extirdinary marvellous time attend
that is only good in this university,1.0,extracurricular,Positive,8,36,good university
excellent..... u r the best in providing facilties and etc .. for extra curricular activities,1.0,extracurricular,Positive,8,93,excellent best providing facilties etc extra curricular activity
extracurricular activities are also good,1.0,extracurricular,Positive,8,40,extracurricular activity also good
university offers alkot of activities which is excellent on their part as students are able to explore themselves,1.0,extracurricular,Positive,8,113,university offer alkot activity excellent part student able explore
Extracurricular activities are good. It helps people to know their talent and build up their skills.,1.0,extracurricular,Positive,8,100,extracurricular activity good help people know talent build skill
I am really enjoying ,1.0,extracurricular,Positive,8,21,really enjoying
i felt happy because it encourages our talents,1.0,extracurricular,Positive,8,46,felt happy encourages talent
Outstanding,1.0,extracurricular,Positive,8,11,outstanding
excellent  simply superb,1.0,extracurricular,Positive,8,24,excellent simply superb
"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket.",-1.0,extracurricular,Negative,2,128,coming lpu thought sport good encouraging many politics sport especially cricket
not every one is getting opportunities here only recommended students getting.,-1.0,extracurricular,Negative,2,78,every one getting opportunity recommended student getting
it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.,1.0,extracurricular,Positive,8,140,seems good since good source interaction built leadership quilities overcome fault
They are sportive,1.0,extracurricular,Positive,8,17,sportive
One of the best things I like about this university. The best of all.,1.0,extracurricular,Positive,8,69,one best thing like university best
They are extraordinary,1.0,extracurricular,Positive,8,22,extraordinary
extra curricular are so good. university is providing many pathways to many students....apart from education,1.0,extracurricular,Positive,8,108,extra curricular good university providing many pathway many student apart education
good they are knowledgebale and helps us interacting with other students,1.0,extracurricular,Positive,8,72,good knowledgebale help interacting student
in this university there is lot of events and lot of extra curriclar activities.... ,1.0,extracurricular,Positive,8,84,university lot event lot extra curriclar activity
The best,1.0,extracurricular,Positive,8,8,best
good..,1.0,extracurricular,Positive,8,6,good
excllent,1.0,extracurricular,Positive,8,8,excllent
VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.,-1.0,extracurricular,Negative,2,138,high need take accitivties noise pollition university always big problem
Yes.,1.0,extracurricular,Positive,8,4,yes
VERY GOOD,1.0,extracurricular,Positive,8,9,good
they all are held in super,1.0,extracurricular,Positive,8,26,held super
the extracurricular activities held in university  are very enjoyable and good,1.0,extracurricular,Positive,8,78,extracurricular activity held university enjoyable good
Our university has lot of extracurricular going on and it helps us a lot.,1.0,extracurricular,Positive,8,73,university lot extracurricular going help lot
IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT,1.0,extracurricular,Positive,8,49,best thing university like
